OKLAHOMA CITY 6804 LANCER LN, 2/2/2001
OKLAHOMA CITY 1320 28TH SE, 2/7/2001
OKLAHOMA CITY 2941 1/2 27TH SW ST 1/2, 2/10/2001
OKLAHOMA CITY 330 23RD SE ST, 2/20/2001
OKLAHOMA CITY 2400 MACARTHUR N, 2/22/2001
OKLAHOMA CITY 2400 MCARTHUR S ST 115, 2/22/2001
OKLAHOMA CITY 425 26TH SE ST, 2/27/2001
OKLAHOMA CITY 711 28TH SE ST, 3/5/2001
OKLAHOMA CITY 1237 PEEBLY N RD, 3/6/2001
OKLAHOMA CITY 1128 25TH SW ST, 3/6/2001
OKLAHOMA CITY 11010 MAY N AVE 234, 3/13/2001
OKLAHOMA CITY 904 TABOR DR, 3/15/2001
OKLAHOMA CITY 4219 YOUNG N 141, 3/19/2001
OKLAHOMA CITY 1720 14TH NW ST, 3/20/2001
OKLAHOMA CITY 2400 MACARTHUR N 115, 3/31/2001
OKLAHOMA CITY 3836 11TH NW, 4/4/2001
OKLAHOMA CITY 2913 26TH SW, 4/10/2001
OKLAHOMA CITY 4680 PENNY W, 4/11/2001
OKLAHOMA CITY 1535 34TH NW ST, 4/11/2001
OKLAHOMA CITY 6100 MACARTHUR PARK LN 2006, 4/15/2001
OKLAHOMA CITY 1916 ANN ARBOR N PL, 4/23/2001
OKLAHOMA CITY 1324 44TH NW ST, 5/2/2001
OKLAHOMA CITY 501 44TH SE 131, 5/6/2001
OKLAHOMA CITY 330 23RD SE ST, 5/7/2001
OKLAHOMA CITY 12115 89TH SE ST, 5/9/2001
OKLAHOMA CITY 4022 MERIDIAN N, 5/10/2001
OKLAHOMA CITY 10900 POWELL RD, 5/14/2001
OKLAHOMA CITY 1027 66 SW ST, 5/19/2001
OKLAHOMA CITY 1505 49TH TERRACE SE, 5/22/2001
OKLAHOMA CITY 5500 BARNES S ST, 5/24/2001
OKLAHOMA CITY 4601 SHALLOWBROOK DR, 6/5/2001
OKLAHOMA CITY 1344 WILLIAMS DR, 6/9/2001
OKLAHOMA CITY 6040 BRITTON W RD D, 6/17/2001
OKLAHOMA CITY 3605 LIBERTY W, 6/19/2001
OKLAHOMA CITY 226 41ST SW ST, 7/4/2001
OKLAHOMA CITY 2701 46TH SW TER, 7/7/2001
OKLAHOMA CITY 3803 42ND SW ST, 7/9/2001
OKLAHOMA CITY 4100 10TH NW 108, 7/10/2001
OKLAHOMA CITY 2317 LINDLEY W, 7/15/2001
OKLAHOMA CITY 3527 38TH SW, 7/18/2001
OKLAHOMA CITY 4031 8TH NW ST, 7/25/2001
OKLAHOMA CITY 3217 GOFF S, 7/26/2001
OKLAHOMA CITY 11900 ECKER N DR, 7/27/2001
OKLAHOMA CITY 1140 48TH SW ST, 8/1/2001
OKLAHOMA CITY 121 15TH SE ST, 8/6/2001
OKLAHOMA CITY 416 12TH SW, 8/7/2001
OKLAHOMA CITY 3327a 28TH SW ST, 8/9/2001
OKLAHOMA CITY 522 WESTWOOD CT, 8/10/2001
OKLAHOMA CITY 128 56 SW ST, 8/10/2001
OKLAHOMA CITY 3333 46TH SW ST, 8/16/2001
OKLAHOMA CITY 4117 HARVEY S AVE, 8/30/2001
OKLAHOMA CITY 3927 BARNES N AVE, 9/3/2001
OKLAHOMA CITY 6301 SANTA FE S 3, 9/4/2001
OKLAHOMA CITY 7619 SACRAMENTO S DR, 9/4/2001
OKLAHOMA CITY 9516 SHIELDS S BLVD 118, 9/4/2001
OKLAHOMA CITY 3417 INDEPENDENCE S AVE, 9/17/2001
OKLAHOMA CITY 2750 59TH SE ST B, 9/23/2001
OKLAHOMA CITY 2823 HUDSON N ST, 9/27/2001
OKLAHOMA CITY 3544 37 SW ST, 9/30/2001
OKLAHOMA CITY 3504 GOFF S AVE, 10/12/2001
OKLAHOMA CITY 2801 44TH NW ST, 10/18/2001
OKLAHOMA CITY 3208 86TH SW ST, 10/24/2001
OKLAHOMA CITY 1604 BINKLEY SW AVE, 11/7/2001
OKLAHOMA CITY 8102 BRITTON W RD 10, 12/12/2001
OKLAHOMA CITY 8112 W BRITTON N 10, 12/31/2001
OKLAHOMA CITY 2434 27 SW ST, 1/5/2002
OKLAHOMA CITY 2232 1/2 34 NW ST, 1/14/2002
OKLAHOMA CITY 2616 36TH SW ST, 1/23/2002
OKLAHOMA CITY 2744 34TH SW ST, 1/24/2002
OKLAHOMA CITY 5526 23RD NW ST 119, 1/28/2002
OKLAHOMA CITY 3316 39 SW ST, 1/29/2002
OKLAHOMA CITY 1140 17TH SE ST, 2/7/2002
OKLAHOMA CITY 2309 WALNUT S, 2/11/2002
OKLAHOMA CITY 2613 30TH SW, 2/15/2002
OKLAHOMA CITY 2800 11TH NW, 2/18/2002
OKLAHOMA CITY 3217 40 SW, 2/21/2002
OKLAHOMA CITY 1118 INDIANA N AVE B, 2/21/2002
OKLAHOMA CITY 1115 9 NW, 2/27/2002
OKLAHOMA CITY 3808 CASHION PL, 3/1/2002
OKLAHOMA CITY 2116 49 SW, 3/3/2002
OKLAHOMA CITY 1312 38 SE, 3/15/2002
OKLAHOMA CITY 3420 QUAPAH AVE, 3/18/2002
OKLAHOMA CITY 2720 74TH SW ST 30, 4/4/2002
OKLAHOMA CITY 1528 INDIANA S, 4/11/2002
OKLAHOMA CITY 812 26TH SE, 4/17/2002
OKLAHOMA CITY 2120 34TH NW, 4/19/2002
OKLAHOMA CITY 5421 DREXEL S AVE, 4/23/2002
OKLAHOMA CITY 1921 8 NW ST, 4/24/2002
OKLAHOMA CITY 1103 CAROL N LN C, 5/23/2002
OKLAHOMA CITY 1517 42 NW ST, 6/1/2002
OKLAHOMA CITY 2513 46 SW ST, 6/11/2002
OKLAHOMA CITY 137 25TH SE ST, 6/11/2002
OKLAHOMA CITY 1256 20TH SE ST, 6/12/2002
OKLAHOMA CITY 1512 62 SW ST, 6/12/2002
OKLAHOMA CITY 1608 BINKLEY SW ST, 6/12/2002
OKLAHOMA CITY 3229 PORTLAND S AVE, 6/15/2002
OKLAHOMA CITY 1638 WESTWOOD, 6/24/2002
OKLAHOMA CITY 3737 29TH NW ST, 6/26/2002
OKLAHOMA CITY 1638 WESTWOOD BLVD, 6/26/2002
OKLAHOMA CITY 3212 45 SW ST, 6/29/2002
OKLAHOMA CITY 1823 9TH NW 1, 7/1/2002
OKLAHOMA CITY 2309 WALNUT S AVE, 7/8/2002
OKLAHOMA CITY 6100 MACARTHUR PARK LN 1608, 7/9/2002
OKLAHOMA CITY 6707 8TH NW, 7/12/2002
OKLAHOMA CITY 708 60TH SE TER, 7/12/2002
OKLAHOMA CITY 2237 12 NW ST, 8/2/2002
OKLAHOMA CITY 5732 16TH NW 2, 8/14/2002
OKLAHOMA CITY 1608 OAKHILL, 8/16/2002
OKLAHOMA CITY 3240 15TH NW, 8/19/2002
OKLAHOMA CITY 2440 42ND NW ST, 8/21/2002
OKLAHOMA CITY 7512 BRADLEY N AVE, 8/27/2002
OKLAHOMA CITY 611 6TH SW, 9/2/2002
OKLAHOMA CITY 2332 1/2 42ND SW, 9/10/2002
OKLAHOMA CITY 2936 65 NW, 9/13/2002
OKLAHOMA CITY 3713 28 NW, 9/19/2002
OKLAHOMA CITY 2237 12 NW, 9/20/2002
OKLAHOMA CITY 17 GRAND SE, 9/27/2002
OKLAHOMA CITY 1711 BLACKWELDER N, 9/27/2002
OKLAHOMA CITY 2109 117TH NW ST, 9/29/2002
OKLAHOMA CITY 8521 DREXEL S AVE, 10/1/2002
OKLAHOMA CITY 923 64 NE, 10/2/2002
OKLAHOMA CITY 8917 SOWELL RD, 10/4/2002
OKLAHOMA CITY 2809 80TH SW ST, 10/8/2002
OKLAHOMA CITY 4000 POST S A, 10/10/2002
OKLAHOMA CITY 4317 22ND SW ST 1909, 10/12/2002
OKLAHOMA CITY 1511 27TH SW ST, 10/19/2002
OKLAHOMA CITY 1401 STRAKA TER, 11/1/2002
OKLAHOMA CITY 4301 KELLY N AVE, 11/5/2002
OKLAHOMA CITY 2936 65TH NW, 11/8/2002
OKLAHOMA CITY 641 36TH SE, 11/16/2002
OKLAHOMA CITY 1244 20TH SE, 11/17/2002
OKLAHOMA CITY 913 KLIEN N, 11/18/2002
OKLAHOMA CITY 3300 HIGHLAND PARK DR, 12/1/2002
OKLAHOMA CITY 2605 50TH NW, 12/2/2002
OKLAHOMA CITY 925 ROCKWELL N AVE 35, 12/9/2002
OKLAHOMA CITY 8700 NORTHEAST 17TH STREET, 12/9/2002
OKLAHOMA CITY 5501 COUNCIL S RD, 12/15/2002
OKLAHOMA CITY 2909 82ND SW ST, 12/19/2002
OKLAHOMA CITY 11713 ROSS N AVE, 12/27/2002
OKLAHOMA CITY 5000 89TH SE ST, 12/28/2002
OKLAHOMA CITY 9628 29TH SE 9, 1/6/2003
OKLAHOMA CITY 1331 MERIDIAN S AVE, 1/7/2003
OKLAHOMA CITY 12831 STRATFORD N 128, 1/8/2003
OKLAHOMA CITY 525 72ND SE, 1/10/2003
OKLAHOMA CITY 2814 17TH NW, 1/17/2003
OKLAHOMA CITY 5801 MISSOURI S, 1/18/2003
OKLAHOMA CITY 3208 CASHION PL, 1/22/2003
OKLAHOMA CITY 3137 NORTH PORTLAND AVENUE 103, 1/24/2003
OKLAHOMA CITY 3826 38 SW, 1/24/2003
OKLAHOMA CITY 1401 17TH NW ST D, 1/25/2003
OKLAHOMA CITY 1449 13TH SW ST, 1/31/2003
OKLAHOMA CITY 10017 BROOKMILL CT, 2/1/2003
OKLAHOMA CITY 5903 SUNNYLANE S, 2/6/2003
OKLAHOMA CITY 7631 12TH NW, 2/6/2003
OKLAHOMA CITY 4000 25TH SW, 2/11/2003
OKLAHOMA CITY 2632 30TH SW, 2/15/2003
OKLAHOMA CITY 4017 18 NW, 2/18/2003
OKLAHOMA CITY 2219 11 NW ST, 2/18/2003
OKLAHOMA CITY 3016 65 SW PL, 2/20/2003
OKLAHOMA CITY 4017 26 SW ST, 2/20/2003
OKLAHOMA CITY 107 74TH SW ST A, 2/24/2003
OKLAHOMA CITY 2624 44TH SW, 2/24/2003
OKLAHOMA CITY 1427 SULZBERGER S ST, 2/27/2003
OKLAHOMA CITY 2613 43RD SW, 2/28/2003
OKLAHOMA CITY 609 52ND SW, 3/1/2003
OKLAHOMA CITY 1401 13TH SW, 3/2/2003
OKLAHOMA CITY 712(A) 60 TERRACE SE, 3/8/2003
OKLAHOMA CITY 712(B) 60TH SE TER, 3/11/2003
OKLAHOMA CITY 8416 HIWASSEE S, 3/13/2003
OKLAHOMA CITY 911 MOBILE WAY, 3/15/2003
OKLAHOMA CITY 10925 FOUNTAIN BLVD, 3/18/2003
OKLAHOMA CITY 3004 45TH NW, 4/2/2003
OKLAHOMA CITY 3016 65 SW PL, 4/8/2003
OKLAHOMA CITY 716 22ND SE, 4/18/2003
OKLAHOMA CITY 1716 PHILLIPS S, 4/20/2003
OKLAHOMA CITY 224 1/2 TUTTLE N, 4/24/2003
OKLAHOMA CITY 4520 BROOKLINE S AVE, 4/25/2003
OKLAHOMA CITY 3616 38TH SW ST, 5/1/2003
OKLAHOMA CITY 10017 BROOK MILL CT, 5/3/2003
OKLAHOMA CITY 2145 46TH SW, 5/6/2003
OKLAHOMA CITY 4041 28TH SW ST, 5/12/2003
OKLAHOMA CITY 3217 PORTLAND N, 6/4/2003
OKLAHOMA CITY 2020 11TH NW ST, 6/4/2003
OKLAHOMA CITY 1020 50TH SW ST, 6/17/2003
OKLAHOMA CITY 4624 PARK W PL, 6/17/2003
OKLAHOMA CITY 3149 72ND SW ST, 6/24/2003
OKLAHOMA CITY 3300 28 SW ST 107, 6/27/2003
OKLAHOMA CITY 3917 LIBERTY W ST, 6/30/2003
OKLAHOMA CITY 2432 48TH SW, 6/30/2003
OKLAHOMA CITY 5505 BROOKLINE N AVE, 7/1/2003
OKLAHOMA CITY 2337 15 NW ST, 7/1/2003
OKLAHOMA CITY 105 44TH SW, 7/5/2003
OKLAHOMA CITY 2135 32 NW, 7/7/2003
OKLAHOMA CITY 2029 31ST NW TER, 7/21/2003
OKLAHOMA CITY 5314 WILLOW CLIFF RD, 8/6/2003
OKLAHOMA CITY 1915 DOGWOOD CT, 8/6/2003
OKLAHOMA CITY 2400 MACARTHUR S AVE 197, 8/7/2003
OKLAHOMA CITY 12401 MACARTHUR N AVE 3207, 8/20/2003
OKLAHOMA CITY 8081 SHIELDS SE 19, 8/21/2003
OKLAHOMA CITY 3109 72ND SW ST, 8/25/2003
OKLAHOMA CITY 4724 44TH SE ST C, 8/27/2003
OKLAHOMA CITY 147 74TH SW H, 9/3/2003
OKLAHOMA CITY 4016 47TH SE, 9/8/2003
OKLAHOMA CITY 333 5TH NW 1704, 9/12/2003
OKLAHOMA CITY 1304 IRVING S ST, 9/19/2003
OKLAHOMA CITY 608 ANITA N DR, 9/28/2003
OKLAHOMA CITY 2505 90 SW ST, 9/29/2003
OKLAHOMA CITY 739 VILLAGE SOUTH DR 120, 10/13/2003
OKLAHOMA CITY 2230 28TH SW, 10/16/2003
OKLAHOMA CITY 1609 32ND SW ST, 10/16/2003
OKLAHOMA CITY 3039 11TH SW ST, 11/16/2003
OKLAHOMA CITY 1528 82 SW, 11/17/2003
OKLAHOMA CITY 2512 22 SW, 11/24/2003
OKLAHOMA CITY 2009 8 SW ST, 11/27/2003
OKLAHOMA CITY 9717 10 NW 339, 11/28/2003
OKLAHOMA CITY 3305 48TH SW, 12/1/2003
OKLAHOMA CITY 719 28 SE ST, 12/3/2003
OKLAHOMA CITY 3600 WILSHIRE E, 12/14/2003
OKLAHOMA CITY 1520 YOUNGS S, 12/18/2003
OKLAHOMA CITY 2712 INDIANA S AVE, 12/30/2003
OKLAHOMA CITY 4025 MERIDIAN N, 12/30/2003
OKLAHOMA CITY 4025 23RD SW, 1/2/2004
OKLAHOMA CITY 916 ROCKWOOD S, 1/8/2004
OKLAHOMA CITY 7176 LYREWOOD LN 289, 1/10/2004
OKLAHOMA CITY 2825 30 SW, 1/12/2004
OKLAHOMA CITY 5012 BROOKLINE S, 1/20/2004
OKLAHOMA CITY 7408 KNIGHT LAKE DR 220, 1/21/2004
OKLAHOMA CITY 4322 BLACKWELDEN N, 2/4/2004
OKLAHOMA CITY 1508 30 SW, 2/7/2004
OKLAHOMA CITY 1425 104 NW TER, 2/9/2004
OKLAHOMA CITY 2312 HUDSON S, 2/16/2004
OKLAHOMA CITY 6100 MAY N, 2/17/2004
OKLAHOMA CITY 2035 BRITTON E RD, 2/20/2004
OKLAHOMA CITY 6110 MAY N 27, 3/11/2004
OKLAHOMA CITY 7631 12TH NW, 3/12/2004
OKLAHOMA CITY 2223 32 SW ST, 3/17/2004
OKLAHOMA CITY 12027 ASHFORD DR, 3/21/2004
OKLAHOMA CITY 8101 YOUNGS S BLVD, 3/27/2004
OKLAHOMA CITY 6120 COUNTRY RIDGE LN, 4/6/2004
OKLAHOMA CITY 1512 1/2 YOUNGS S BLVD, 4/7/2004
OKLAHOMA CITY 3220 84 SW ST, 4/7/2004
OKLAHOMA CITY 1312 25 SW ST 3, 4/8/2004
OKLAHOMA CITY 103 22 SW ST, 4/13/2004
OKLAHOMA CITY 1155 WILSHIRE W, 5/1/2004
OKLAHOMA CITY 3501 META S AVE, 5/8/2004
OKLAHOMA CITY 3824 37 SW, 5/9/2004
OKLAHOMA CITY 9628 29 SE ST 4, 6/22/2004
OKLAHOMA CITY 4313 16 NW, 6/22/2004
OKLAHOMA CITY 5712 19 NW ST 215, 6/24/2004
OKLAHOMA CITY 2312 HUD SON S A, 6/24/2004
OKLAHOMA CITY 3500 DOUGLAS S BLVD 11, 7/7/2004
OKLAHOMA CITY 6805 13 NW ST, 7/21/2004
OKLAHOMA CITY 1332 74 SW ST 227A, 8/31/2004
OKLAHOMA CITY 1201 9TH NW ST, 8/31/2004
OKLAHOMA CITY 6520 57TH SE, 9/22/2004
OKLAHOMA CITY 1417 96 NW, 9/29/2004
OKLAHOMA CITY 27 42 SW ST, 11/5/2004
OKLAHOMA CITY 4801 BERRYMAN RD, 11/12/2004
OKLAHOMA CITY 1425 51 SW ST, 12/25/2004
OKLAHOMA CITY 900 FARA N, 12/26/2004
OKLAHOMA CITY 5804 HARVEY S AVE B, 1/10/2005
OKLAHOMA CITY 2444 BINKLEY W C, 2/17/2005
OKLAHOMA CITY 2004 27 NW, 5/4/2005
OKLAHOMA CITY 8300 DOUGLAS S, 8/3/2005
OKLAHOMA CITY 33 COPELAND, 10/2/2005
OKLAHOMA CITY 3524 DUMAS AVE, 11/23/2005
OKLAHOMA CITY 500 45 SE ST, 2/3/2006
OKLAHOMA CITY 624 71 SE ST, 2/13/2006
OKLAHOMA CITY 5607 ARROWOOD DR, 4/1/2006
OKLAHOMA CITY 3745 37TH SW ST, 4/8/2006
OKLAHOMA CITY 5720 19TH NW ST 124, 4/11/2006
OKLAHOMA CITY 1721 1/2 4TH NW, 1/5/2007
OKLAHOMA CITY 1001 32ND SW, 5/11/2009
OKLAHOMA CITY 4147 20 NW, 4/12/2010
OKLAHOMA CITY 1628 7TH NW, 11/7/2010
OKLAHOMA CITY 2701 EAST LINDSEY LANE 3, 7/23/2012
OKLAHOMA CITY 4214 HOLIDAY PLACE, 8/16/2012
YUKON 12026 16TH SW, 8/18/2000
YUKON 1008 ELM ST, 12/6/2000
YUKON 105 CEDAR, 7/29/2001
YUKON 220 7TH S ST, 3/27/2002
YUKON 12025 ASHFORD DR, 1/21/2003
YUKON 911 2ND S ST, 1/23/2003
YUKON 106 CORNWELL S 1, 1/27/2003
